window_id,start_timestamp,end_timestamp,seconds,buy_dex,sell_dex,max_net_edge_bps_floor,mean_net_edge_bps_floor,max_net_profit_quote_floor,mean_net_profit_quote_floor
114,2026-04-17 18:25:43+00:00,2026-04-17 18:27:53+00:00,131,raydium_cpmm,meteora_damm_v2,935.817107351854,935.817107351854,0.007973004566350398,0.007973004566350398
108,2026-04-17 15:43:03+00:00,2026-04-17 15:48:53+00:00,351,raydium_cpmm,meteora_damm_v2,934.9996818432421,929.7554325298428,0.008023666157948209,0.007978662820987909
109,2026-04-17 15:54:46+00:00,2026-04-17 16:22:02+00:00,1637,raydium_cpmm,meteora_damm_v2,933.6956906142103,919.2099504044381,0.008032140562964175,0.007914216723293179
77,2026-04-16 22:58:43+00:00,2026-04-16 23:05:03+00:00,381,raydium_cpmm,meteora_damm_v2,933.4483242700759,933.4483242700759,0.007938527827640218,0.007938527827640218
121,2026-04-17 22:34:12+00:00,2026-04-17 22:43:41+00:00,570,raydium_cpmm,meteora_damm_v2,931.9474920401295,919.359943403591,0.007941361814339966,0.007843107846707845
120,2026-04-17 22:08:43+00:00,2026-04-17 22:17:26+00:00,524,raydium_cpmm,meteora_damm_v2,929.3223499655186,928.9799033587533,0.007909666460958439,0.007906751822738126
101,2026-04-17 13:08:09+00:00,2026-04-17 14:18:14+00:00,4206,raydium_cpmm,meteora_damm_v2,924.8420511453078,874.4770784838031,0.007883251207185187,0.007530238502324621
111,2026-04-17 17:25:23+00:00,2026-04-17 17:42:43+00:00,1041,raydium_cpmm,meteora_damm_v2,924.3247893432324,909.0109316197817,0.00791135447678136,0.007783145819879109
117,2026-04-17 19:40:31+00:00,2026-04-17 19:50:31+00:00,601,raydium_cpmm,meteora_damm_v2,921.7593452726617,921.3573539850069,0.007868481425262214,0.007865049877758788
116,2026-04-17 19:21:50+00:00,2026-04-17 19:30:38+00:00,529,raydium_cpmm,meteora_damm_v2,921.7356672473088,921.7356672473088,0.007863592585360707,0.007863592585360707
110,2026-04-17 17:12:15+00:00,2026-04-17 17:22:55+00:00,641,raydium_cpmm,meteora_damm_v2,920.4047230175752,912.2285245198527,0.007907739287143433,0.007838913790322567
102,2026-04-17 14:22:08+00:00,2026-04-17 14:36:32+00:00,865,raydium_cpmm,meteora_damm_v2,919.4407518181063,890.1267062007383,0.007902734778010252,0.007680423155100236
93,2026-04-17 09:28:19+00:00,2026-04-17 09:44:08+00:00,950,raydium_cpmm,meteora_damm_v2,908.509327492344,869.6796740920569,0.007755427585874323,0.007414612129832893
115,2026-04-17 18:49:49+00:00,2026-04-17 18:51:17+00:00,89,raydium_cpmm,meteora_damm_v2,902.164863402586,902.1648634025861,0.007694581131164687,0.007694581131164687
104,2026-04-17 14:55:50+00:00,2026-04-17 15:02:58+00:00,429,raydium_cpmm,meteora_damm_v2,901.9264038785865,889.1935413224084,0.007780588652945474,0.007670746912535078
118,2026-04-17 20:32:58+00:00,2026-04-17 20:41:40+00:00,523,raydium_cpmm,meteora_damm_v2,900.723168887032,900.723168887032,0.007666962397796398,0.0076669623977963985
87,2026-04-17 06:51:08+00:00,2026-04-17 07:01:20+00:00,613,raydium_cpmm,meteora_damm_v2,895.5448053596797,871.5001501674809,0.007542024487265282,0.007357525870154349
100,2026-04-17 12:48:16+00:00,2026-04-17 13:00:38+00:00,743,raydium_cpmm,meteora_damm_v2,894.1708595986308,883.0836093491978,0.007609974005045032,0.007514114467611507
72,2026-04-16 20:22:46+00:00,2026-04-16 20:33:09+00:00,624,raydium_cpmm,meteora_damm_v2,893.87987093769,809.021156825112,0.007683970416485783,0.00700805210813783
85,2026-04-17 05:09:45+00:00,2026-04-17 05:20:18+00:00,634,raydium_cpmm,meteora_damm_v2,893.3331284634506,880.8051257414767,0.00751577236215724,0.007410835282560978
67,2026-04-16 18:17:22+00:00,2026-04-16 18:37:42+00:00,1221,raydium_cpmm,meteora_damm_v2,889.9469041744369,796.8041445855664,0.007468252956746631,0.006731674511112297
98,2026-04-17 11:26:01+00:00,2026-04-17 11:35:44+00:00,584,raydium_cpmm,meteora_damm_v2,889.6405084754467,886.6577114045622,0.00750445218166849,0.007481315981047312
92,2026-04-17 08:47:39+00:00,2026-04-17 09:05:07+00:00,1049,raydium_cpmm,meteora_damm_v2,887.9366918337337,872.3925047775732,0.007559907951589002,0.007432896896347092
83,2026-04-17 04:18:22+00:00,2026-04-17 04:29:34+00:00,673,raydium_cpmm,meteora_damm_v2,887.571753313925,885.4640279549624,0.007489352164088361,0.007470366255396708
